iter	RMSE
0	4.992718767
1	4.976470879
2	4.955352253
3	4.936952659
4	4.911534064
5	4.895473657
6	4.875597175
7	4.857793263
8	4.839789153
9	4.822957293
10	4.802544351
11	4.783219659
12	4.765494673
13	4.74923333
14	4.73174788
15	4.713744265
16	4.695959764
17	4.676476103
18	4.657568401
19	4.639010622
20	4.621883002
21	4.598018284
22	4.577941622
23	4.560464591
24	4.540792759
25	4.524680029
26	4.511755083
27	4.49153396
28	4.474119719
29	4.458748141
30	4.441384806
31	4.421408172
32	4.406276522
33	4.393380983
34	4.37963521
35	4.363389281
36	4.346543089
37	4.328717923
38	4.310162437
39	4.292748894
40	4.281795284
41	4.268243939
42	4.245689447
43	4.228507208
44	4.21333895
45	4.200403946
46	4.185872264
47	4.172674524
48	4.157777102
49	4.141930374
50	4.12468022
51	4.108157539
52	4.092668942
53	4.078773833
54	4.061754248
55	4.049446276
56	4.038495293
57	4.026426888
58	4.01485226
59	4.002895897
60	3.990308072
61	3.975578472
62	3.964432807
63	3.953020663
64	3.941640389
65	3.932297817
66	3.918898115
67	3.907509017
68	3.894788963
69	3.881412475
70	3.867049328
71	3.854791117
72	3.844158669
73	3.832182723
74	3.820497788
75	3.809209138
76	3.794215499
77	3.783027846
78	3.771658561
79	3.758808733
80	3.741688974
81	3.730020085
82	3.716662664
83	3.705032536
84	3.691844154
85	3.679221893
86	3.663849723
87	3.654786094
88	3.643261034
89	3.629360048
90	3.616870122
91	3.604032649
92	3.593816359
93	3.583100879
94	3.570154356
95	3.560301161
96	3.548757659
97	3.537116678
98	3.526693313
99	3.513530562
100	3.500068324
101	3.486447826
102	3.476122325
103	3.463204949
104	3.452860197
105	3.442011646
106	3.432622781
107	3.421866941
108	3.413354695
109	3.402333058
110	3.394006068
111	3.383218644
112	3.373727691
113	3.362537709
114	3.349745242
115	3.336764645
116	3.327736419
117	3.315882855
118	3.308761405
119	3.299249466
120	3.289422738
121	3.281054115
122	3.271322191
123	3.260682201
124	3.251058021
125	3.240010834
126	3.231822243
127	3.223511633
128	3.215387246
129	3.20321627
130	3.192861892
131	3.182714134
132	3.173124759
133	3.164070506
134	3.153203965
135	3.144275536
136	3.136922462
137	3.127694564
138	3.117921964
139	3.106205522
140	3.09823286
141	3.088686488
142	3.078344126
143	3.065876385
144	3.057207242
145	3.04945638
146	3.041270364
147	3.032196942
148	3.023043204
149	3.014600113
150	3.004685922
151	2.998667704
152	2.988106221
153	2.981021774
154	2.973769142
155	2.965214293
156	2.955411806
157	2.947625505
158	2.940609451
159	2.932212305
160	2.924769498
161	2.917047974
162	2.910120474
163	2.901288062
164	2.895301777
165	2.885473077
166	2.878001585
167	2.870265758
168	2.862273586
169	2.851680063
170	2.843406073
171	2.836364132
172	2.829832303
