iter	Passed	Remaining
0	29042	10658656
1	52463	9600755
2	72980	8879234
3	92271	8396722
4	111484	809375255	132283	79811146	139631	7200970
7	161525	7268666
8	181516	7240500
9	201425	7211026
10	221312	7182582
11	240917	7147212
12	261194	7132624
13	280706	7097861
14	301241	7089215
15	321612	7075482
16	341653	7054135
17	361316	7025601
18	381128	7000729
19	400703	6972240
20	419097	6925083
21	437661	6883229
22	458171	6872573
23	477208	6839985
24	495182	6793902
25	513928	6760131
26	531634	6714351
27	550767	6687890
28	570415	6667962
29	589166	6637946
30	608174	6611442
31	627120	6584762
32	646580	6563770
33	666116	6543617
34	685428	6521364
35	704542	6497449
36	722653	6464820
37	741555	6439822
38	760353	6414266
39	779290	6390180
40	798009	6364613
41	816526	6337802
42	834582	6307891
43	853065	6281662
44	870806	6250456
45	889428	6225996
46	907132	6195523
47	924723	6164823
48	942929	6138665
49	960948	6111635
50	978771	6083734
51	996680	6056750
52	1014283	6028289
53	1031309	5996874
54	1048175	5965069
55	1065974	5938998
56	1084060	5914788
57	1101717	5888489
58	1118144	5856047
59	1135276	5827752
60	1152086	5798207
61	1168383	5766539
62	1185509	5739369
63	1202256	5710718
64	1219245	5683557
65	1235960	5655455
66	1252414	5626516
67	1269704	5601639
68	1286938	5576733
69	1303550	5549401
70	1319787	5520800
71	1336565	5494770
72	1352692	5466361
73	1369461	5440832
74	1385600	5413078
75	1401586	5385043
76	1417975	5358843
77	1434295	5332637
78	1450255	5305364
79	1466311	5278721
80	1482284	5252043
81	1498273	5225685
82	1514711	5201119
83	1531617	5178325
84	1548096	5154250
85	1563912	5128176
86	1580318	5104248
87	1596357	5079318
88	1612849	5056010
89	1629396	5033025
90	1645612	5009171
91	1661913	4985740
92	1677990	4961798
93	1694188	4938379
94	1711702	4918892
95	1728385	4897091
96	1744957	4875088
97	1762129	4854847
98	1778466	4832399
99	1794992	4810579
100	1812416	4791238
101	1829660	4771466
102	1846377	4750389
103	1862582	4728094
104	1879382	4707405
105	1896041	4686443
106	1912547	4665186
107	1928840	4643505
108	1945550	4622914
109	1962389	4602696
110	1979341	4582800
111	1995975	4562229
112	2012533	4541558
113	2029039	4520842
114	2045781	4500719
115	2062431	4480455
116	2078757	4459557
117	2095022	4438607
118	2111769	4418744
119	2129188	4400323
120	2147204	4383136
121	2164370	4364223
122	2181547	4345359
123	2199020	4327105
124	2218904	4313550
125	2236732	4295947
126	2253467	4276265
127	2269839	4255948
128	2286018	4235336
129	2302330	4215036
130	2318479	4194500
131	2335039	4174767
132	2351217	4154407
133	2367678	4134601
134	2384297	4115120
135	2400993	4095812
136	2418369	4077687
137	2435574	4059291
138	2452211	4039975
139	2468940	4020845
140	2485225	4001036
141	2502137	3982275
142	2519084	3963594
143	2536689	3945960
144	2553498	3927104
145	2570310	3908280
146	2586525	3888586
147	2602549	3868654
148	2618522	3848700
149	2634625	3828988
150	2650897	3809567
151	2666907	3789815
152	2682947	3770155
153	2699620	3751420
154	2715992	3732299
155	2732248	3713055
156	2748602	3693981
157	2764275	3674037
158	2781164	3655744
159	2797715	3637030
160	2813826	3617776
161	2829929	3598552
162	2846370	3579791
163	2862055	3560117
164	2878445	3541360
165	2895194	3523068
166	2912473	3505432
167	2934233	3493135
168	2951044	3474898
169	2968215	3457098
170	2984940	3438790
171	3002272	3421194
172	3020222	3404297
173	3037957	3387147
174	3055371	3369637
175	3072444	3351758
176	3088897	3333216
177	3106121	3315523
178	3123806	3298320
179	3140832	3280424
180	3157638	3262311
181	3174847	3244623
182	3191952	3226837
183	3210519	3210519
184	3228550	3193647
185	3245368	3175576
186	3262541	3157860
187	3279049	3139515
188	3296318	3121910
189	3313449	3104179
190	3330261	3086158
191	3347585	3068620
192	3364285	3050518
193	3381073	3032509
194	3397514	3014205
195	3414986	2996824
196	3432402	2979394
197	3449048	2961304
198	3466122	2943591
199	3483133	2925832
200	3500074	2908022
201	3517537	2890649
202	3533878	2872364
203	3550139	2854033
204	3567138	2836309
205	3584554	2818921
206	3601470	2801143
207	3619159	2783969
208	3637295	2767129
209	3655403	2750256
210	3673280	2733199
211	3692225	2716920
212	3711165	2700613
213	3730403	2684495
214	3749519	2668262
215	3768607	2651983
216	3787058	2635233
217	3804935	2618074
218	3823148	2601137
219	3841041	2583973
220	3859224	2566995
221	3876548	2549441
222	3894938	2532583
223	3913734	2515972
224	3932164	2499108
225	3951487	2482793
226	3969677	2465746
227	3987774	2448633
228	4006050	2431619
229	4023866	2414319
230	4042502	2397501
231	4060404	2380236
232	4078764	2363232
233	4096664	2345953
234	4114450	2328603
235	4131833	2311025
236	4148853	2293248
237	4166326	2275724
238	4183952	2258283
239	4201434	2240764
240	4219482	2223544
241	4237874	2206496
242	4257042	2189836
243	4276034	2173066
244	4294089	2155808
245	4311976	2138459
246	4330465	2121402
247	4349055	2104381
248	4366926	2087005
249	4384783	2069618
250	4403160	2052469
251	4420547	2034855
252	4438645	2017566
253	4460364	2001895
254	4483310	1986722
255	4504691	1970802
256	4523035	1953529
257	4517392	1926020
	4503744	1895398
259	4523819	1879124
